model_type,model_label,controller_type,controller_label,rms_position_error_m,steady_rms_position_error_m,max_position_error_m,final_position_error_m,max_altitude_error_m,mean_rotor_speed_rad_s,max_tilt_command_rad,mean_control_effort_rad_s,min_air_density_kg_m3,max_temperature_rise_K,max_wind_speed_m_s,max_dust_concentration_kg_m3,min_eta_T,min_rotor_speed_rad_s,max_rotor_speed_rad_s
standard,标准模型,baseline,原PID,0.0856659822245832,0.0153460954524978,0.448116251124868,0.00688077617108289,0.00123531100885188,553.807303639831,0.116089977792644,0.0667351796318083,1.225,0,0,0,1,551.910915278796,557.558944666478
standard,标准模型,pid_ff,PID扰动补偿,0.0856659822245832,0.0153460954524978,0.448116251124868,0.00688077617108289,0.00123531100885188,553.807303639831,0.116089977792644,0.0667351796318083,1.225,0,0,0,1,551.910915278796,557.558944666478
standard,标准模型,mpc,线性MPC,0.087811423401978,0.0367766611969649,0.402893320648933,0.0219091842108792,0.00252102977489299,554.098803513007,0.155768932911192,0.313123364456815,1.225,0,0,0,1,551.38376682506,560.074619667925
standard,标准模型,adrc,ADRC,0.0796851912422715,0.017810099269434,0.406881775461108,0.00410277105709415,0.00152876385789424,553.952543040138,0.146350748842565,0.248078992648287,1.225,0,0,0,1,551.402689392649,559.592296445829
standard,标准模型,rl,强化学习策略,0.0856659822245832,0.0153460954524978,0.448116251124868,0.00688077617108289,0.00123531100885188,553.807303639831,0.116089977792644,0.0667351796318083,1.225,0,0,0,1,551.910915278796,557.558944666478
temperature,温度扰动模型,baseline,原PID,0.265984820251442,0.280672212763884,0.448116251124868,0.287938937672495,0.108247329784835,564.415036560705,0.116089977792644,0.167635390785957,1.02865729272913,55,2.30054341406547,0,1,551.910915278796,569.34519936513
temperature,温度扰动模型,pid_ff,PID扰动补偿,0.0983949137143647,0.0530717878805642,0.448116251124868,0.0322641877238469,0.00668494443320844,564.42835313593,0.116089977792644,0.16388463259768,1.02865729272913,55,2.30054341406547,0,1,551.910915278796,568.562507407124
temperature,温度扰动模型,mpc,线性MPC,0.0876819770572459,0.0334720112268505,0.402893320648933,0.0145975627160232,0.00763728390825102,564.646008075506,0.155768932911192,0.306517847240086,1.02865729272913,55,2.30054341406547,0,1,551.38376682506,570.148382526937
temperature,温度扰动模型,adrc,ADRC,0.231676667997084,0.245191764109563,0.406881775461108,0.265647406485386,0.106055402764575,564.54585565122,0.146350748842565,0.772919957928948,1.02865729272913,55,2.30054341406547,0,1,547.646171670529,595.05461000066
temperature,温度扰动模型,rl,强化学习策略,0.0995181555651972,0.0551261008720373,0.448116251124868,0.0280484495966946,0.0092966940251884,564.427876332672,0.116089977792644,0.160003081729662,1.02865729272913,55,2.30054341406547,0,1,551.910915278796,568.151702179779
dust,粉尘扰动模型,baseline,原PID,0.114340365229745,0.0841213055107722,0.448116251124868,0.0740844846196106,0.102986737570542,563.804455273701,0.116089977792644,0.155007645842873,1.225,0,0,0.01,0.958021749648934,551.910915278796,568.725823461807
dust,粉尘扰动模型,pid_ff,PID扰动补偿,0.0856746380270881,0.0153427993323137,0.448116251124868,0.00687434105201363,0.00733464445939047,563.80725888672,0.116089977792644,0.152005088666583,1.225,0,0,0.01,0.958021749648934,551.910915278796,567.903245573687
dust,粉尘扰动模型,mpc,线性MPC,0.0878771857469606,0.0368801374077161,0.402893320648933,0.021927475122343,0.0084702724347534,564.102187123219,0.155768932911192,0.38617417650366,1.225,0,0,0.01,0.958021749648934,551.38376682506,569.66554406514
dust,粉尘扰动模型,adrc,ADRC,0.0797531189790925,0.0180126410262376,0.406881775461108,0.00411921875906821,0.00545860984452284,563.954649752896,0.146350748842565,0.352600041182571,1.225,0,0,0.01,0.958021749648934,551.402689392649,570.703635752329
dust,粉尘扰动模型,rl,强化学习策略,0.08569967642655,0.0155165700482356,0.448116251124868,0.00710521721609957,0.00646578581367629,563.807286688974,0.116089977792644,0.154463130145262,1.225,0,0,0.01,0.958021749648934,551.910915278796,568.057768356085
