timesteps,episode_reward,episode_length,time_elapsed
6,-50.646983,6,1.410275
15,-51.661768,9,1.461459
26,-53.612786,11,1.515374
34,-51.300899,8,1.563067
49,-55.213654,15,1.617027
54,-51.286805,5,1.661032
65,-53.154165,11,1.713026
72,-51.478498,7,1.758843
81,-51.620934,9,1.80936
91,-52.916525,10,1.857658
103,-53.511528,12,1.904656
117,-53.697734,14,1.954845
124,-50.797362,7,1.997248
133,-52.00881,9,2.042065
139,-50.771915,6,2.084663
147,-50.935125,8,2.126281
154,-51.260192,7,2.165164
159,-50.597521,5,2.208148
167,-51.466217,8,2.253503
175,-51.508521,8,2.298383
183,-51.854571,8,2.338064
199,-55.352947,16,2.388352
